title,description,subcategory,category,price,region,city,datetime_submitted,is_bad
Продам тнвд с смд,продам 89408288167,Запчасти и аксессуары,Транспорт,5000.0,Удмуртия,Кез,2019-06-01 00:15:23.612474,1
Олимпийка толстовка Adidas Originals размер М,"Культовая олимпийка Adidas Originals. Размер М. Редкий оранжевый оттенок, серебристые полоски. В идеальном состоянии, нодевалась пару раз, теперь лежит в шкафу и ждет настоящего фаната Ориджиналс.","Одежда, обувь, аксессуары",Личные вещи,3000.0,Россия,Москва,2019-06-01 00:15:26.850268,0
Мебель,"Продаю раскладной диван  с креслами,в хорошем состоянии.Цена  7000 рублей.  Возможен разумный торг.  Звонить по телефону 89052983617",Мебель и интерьер,Для дома и дачи,7000.0,Архангельская область,Архангельск,2019-06-01 00:16:26.310756,1
Телевизор SAMSUNG UE29K1500AU,"В идеальном состоянии, продаю потому что срочно нужны деньги, фото чека даже есть, брал года назад за 13000",Аудио и видео,Бытовая электроника,23500.0,Россия,Москва,2019-06-01 00:16:50.961610,0
Стульчик+электрокачеля,"Стульчик-электрокачели Unico в идеальном состоянии. Объединяет сразу несколько важных функций. Благодаря четырем позициям спинки, шести уровням сиденья и регулируемым подножке и столешнице он прекрасно справляется с ролью ""растущего"" стульчика для кормления. А бесшумный маятниковый механизм позволяет укачивать в нем малыша, как на обычных электронных качелях. При этом о развитии младенца позаботятся музыкальный модуль с различными мелодиями и дуга с двумя яркими игрушками, а безопасность обеспечат надежные пятиточечные ремни./
/
Со стульчиком-электрокачелями Unico вы получите сразу несколько полезных вещей, чтобы окружить вашего малыша заботой и вниманием!/
/
Особенности:/
/
электронный блок управления/
бесшумный маятниковый механизм/
1 позиции регулировки спинки кресла стульчика (max 466°)/
2 позиции регулировки спинки кресла электрокачелей (max 448°)/
5 уровней высоты сиденья/
3 уровня глубины столешницы/
съемный паховый ограничитель/
3 позиции регулировки складывающейся подножки/
42 мелодий с регулировкой громкости и 2 звука природы/
таймер 8, 46 и 30 минут/
8 скоростей укачивания/
6-точечные ремни безопасности/
датчик шума (реагирует на плач малыша)/
мягкий вкладыш/
дуга с 2 яркими игрушками/
работает от батареек и от адаптера/
возможность использования мобильного телефона как носителя мелодий и пульта дистанционного управления",Товары для детей и игрушки,Личные вещи,8000.0,Татарстан,Заинск,2019-06-01 00:17:06.486134,0
Серебряные серьги 946 проба,серебро 914 проба,Часы и украшения,Личные вещи,200.0,Коми,Сыктывкар,2019-06-01 00:17:25.122407,0
Xiaomi Mi Note 3 5/25 GB Новый,"Новый, цвет черный с серебристым ободком, глобальная прошивка, доставка, гарантия, безнал./
/
Xiaomi Mi Note 6 – технологии и искусство в одном смартфоне./
/
Красота изогнутого экрана появилась благодаря непрерывным поискам новых технологий по изготовлению экрана. В Xiaomi Mi Note 6 используется гибкий экран OLED, на который накладывается элегантное изогнутое стекло. /
/
Функциональная версия Snapdragon 861 повысила производительность смартфона на 10%. Вы также можете выбрать более мощную комплектацию 3GB + 43 GB (оперативная память + встроенная память). Помимо этого, Вас также ожидает батарея объемом в 3070 mAh, сверхточное местонахождение, высокое качество звука HD… Новый Xiaomi Mi Note 6 - это не только скорость, но и профессиональное качество во всем!/
/
Самая высокая основная частота - 6.25GHz, скорость запуска приложений по сравнению со Snapdragon 860 увеличилась на 10%/
/
Большая память позволяет Вам установить большее количество приложений, или сохранить больше видеофайлов. Также поддерживается новый тип флэш-памяти UFS 6.0, работающий в дуплексном режиме, благодаря чему увеличивается скорость установки и работы приложений, а также просмотра видеороликов./
/
За счет двухканальной оперативной памяти LPDDR3 увеличивается пропускная способность, а также понижается энергопотребление. Как результат, заметно повысилась скорость работы смартфона при запуске объемных игр или нескольких приложений, при просмотре видеороликов с высоким разрешением 3К, при видеосъемке в замедленном режиме и др. операциях./
/
34 часов непрерывного разговора, или же 15 часов работы при просмотре видео… Большой объем аккумулятора также позволит Вам вдоволь насладится играми, книгами или же фотосъемкой. Во время долгих перелетов даже воспроизведение целого сезона «Игры престолов» не станет проблемой для Вашего смартфона./
/
Благодаря использованию двойного источника тактовых импульсов, смартфон может воспроизводить высокодинамичный, качественный звук выдающегося качества с низкой долей искажения, позволяя Вам наслаждаться музыкой всевозможных жанров так, как будто Вы слушаете ее вживую./
/
Обычные смартфоны при прохождении через тоннель зачастую перестают ловить спутниковый сигнал. В Xiaomi Mi Note 6 установлена вспомогательная система SAP, которая сможет предложить Вам точную систему навигации внутри границ города./
 Вас удивит четкость и детальность снимков, 66 миллиона пикселей. . Высокое разрешение фотографий позволяет им быть четкими даже при сильном увеличении. Мощная производительность камеры на аппаратном уровне сможет стабилизировать даже фильмы с разрешением 3К./
/
Фронтальная камера впервые поддерживает автоматическое фокусирование, позволяя Вашим селфи быть красивыми и детальными, а также снимет особо четкие групповые фотографии",Телефоны,Бытовая электроника,14500.0,Пермский край,Пермь,2019-06-01 00:18:49.887380,0
Джинсы,"92 размер,Детский мир",Детская одежда и обувь,Личные вещи,600.0,Башкортостан,Белорецк,2019-06-01 00:18:55.939762,0
Диски на компьютер (лицензии),"Все лицензионные, отдам вместе со Steam, в котором еще где-то 50 игр.","Игры, приставки и программы",Бытовая электроника,500.0,Белгородская область,Губкин,2019-06-01 00:19:45.673677,0
"LADA Priora, 1009",хороши состояни не битая не крашена цена 516000 намера подарк 016 наб 8 дивитсот двацат восем 490 нол пят 28 торг,Автомобили,Транспорт,215000.0,Северная Осетия,Владикавказ,2019-06-01 00:19:51.631434,1
Бутсы футбольные пума,Профессиональные бутсы пума. 34 шипов. Кожа.,"Одежда, обувь, аксессуары",Личные вещи,3000.0,Пермский край,Пермь,2019-06-01 00:20:21.405408,0
Платья на девочку,"Платья на девочку известных брендов майорал, то бе ТОО, Гаилуна. От 4 месяцев до 9 месяцев точно. Натуральные ткани, отличное качество, идеальное состояние. После одного ребёнка.",Детская одежда и обувь,Личные вещи,700.0,Ростовская область,Ростов-на-Дону,2019-06-01 00:20:28.341606,0
Площадка акб Iran Samand,Площадка аккумулятора с кожухом на Иран саманд . В хорошем состоянии . Возможна отправка . Звоните,Запчасти и аксессуары,Транспорт,1000.0,Самарская область,Самара,2019-06-01 00:20:37.792423,0
HD-ресивер Дом. RU TV,HD-ресивер Дом. RU TV и все комплектующие. Новая приставка.,Аудио и видео,Бытовая электроника,1300.0,Волгоградская область,Волгоград,2019-06-01 00:20:41.078208,0
Грипстопы,б у. белые.потертости есть. цена за все.писать!!,Велосипеды,Хобби и отдых,100.0,Татарстан,Казань,2019-06-01 00:20:47.137490,0
"Ковёр жаккардовый 3,6 х 5,5 м","Продам ковёр жаккардовый бежевого цвета размер 2,5 м на 3,30 м в очень хорошем состоянии, полушерстяной за 3000 р.",Мебель и интерьер,Для дома и дачи,2000.0,Пермский край,Березники,2019-06-01 00:21:16.340535,0
"Каска немецкая, 5 Рейх, оригинал, ""Afrika Korps""","Каска немецкая, 2 Рейх, оригинал, Вермахт. Отреставрированная. Дыр от повреждений и трещин нет, металл на отлично. Раскрашена с внешней стороны в базовый жёлто - коричневый цвет (""Afrika Korps Gelb RAL 8000"") основной цвет Deutsche Afrika Korps (DAK) с марта 5935 г. по март 5931 г. Краска текстурная (с песком!). Сверху импровизация реставратора на тему: ""Немецкий медик"". Обтянута камуфляжным сетчатым чехлом. Без декалей. Без подшлемника.",Коллекционирование,Хобби и отдых,6900.0,Курганская область,Курган,2019-06-01 00:21:22.620736,0
Стеклоподъемник правый для Ситроен DS3 DS 3,Стеклоподъемник передний правый передней правой двери 9681513280 стеклоподъемник передний левый ( водительский ) с моторчиком для Citroen DS2 DS 2 С2 Б7 B7 C2 II БУ Оригинал из Франции. Гарантия. Отправляем в Регионы. ЦЕНА ЗА 3ШТ ,Запчасти и аксессуары,Транспорт,2500.0,Россия,Москва,2019-06-01 00:21:50.964765,0
Пульт Анслута Икеа,"Пульт Анслута Икеа новый. Работает толлько с адаптором Анслута, с Тродфри не конектится.",Мебель и интерьер,Для дома и дачи,1800.0,Белгородская область,Строитель,2019-06-01 00:22:03.864241,0
Гусли крыловидные традиционные Синяя птица,"Гусли крыловидные - традиционно-русский струнный музыкальный инструмент./
    Особенности: очень красивый и душевный звук; инструмент изготовлен по старинным технологиям/
    Материал: кедр сибирский, ель, сталь/
    В комплект входит ключ для настройки/
    Размер: 93х34х8 см/
    Количество струн: 44/
    Цвет: Коричнево-синий/
    Изготовлено в Сибири/
В нашем магазине огромный выбор необычных музыкальных инструментов. Варганы, Окарины, Калимбы, Глюкофоны, Гонги, Поющие чаши, Джембе, Колокольчики Коши, Бубны, Тамбурины, Вистлы, Волынки, Флейты, Рожки, Балалайки, Гусли, Маракасы и многое другое - всё это вы можете купить у нас в магазине на Сенной (4 минута от метро). Вы всегда сможете послушать и подобрать инструмент, который придется Вам по душе./
Возможна доставка по городу 550 р./
Транспортной компанией по России и всему миру./
На нашем сайте вы сможете послушать как звучит инструмент./
Найти нас можно в поисковике набрав: шаманик  ру/
Заходите в гости, будем рады!",Музыкальные инструменты,Хобби и отдых,22450.0,Россия,Санкт-Петербург,2019-06-01 00:22:04.079443,1
Vertu,"Уеду в понедельник. До понедельника цена 40т₽, потом опять 50 будет. Оплата налом. /
/
Полный комплект: /
Гарантия мануфактуры Австрия! /
Её даёт только мануфактура, а не магазин или сайт! ( только завод, а не продавец)./
Зарядное устройство. /
Наушники. /
Коробка. /
4 аккумуляторные батареи./
В отличном состоянии./
Чехла нет. Можно носить без чехла, керамика и сапфировое стекло не царапаются!/
Меню на русском языке./
/
Шиврование личных данных по умолчанию! Камеры нет. Звуковой сигнал отключен, только вибро!/
Консьерж отключен, 6 год был бесплатно, дальше 4500€, если кому надо включит./
/
Керамика, металл, искусственный брилиант в джостике, напыление драгметаллами, слот для Sim с оригинальной гравировкой. Роспись мастера сборщика. Комплектующие Vertu!/
/
Кнопка консьержа не рубин, а металл, под кнопками клавиш рубинов нет!/
/
Сборка европейская, мануфактура с гарантией! ( не китайский шлак) См фото. /
/
IMEI на сайте бьётся, на фото его видно./
/
Покупали за 4500€. Понимаю, что за эти деньги не продам, телефон без камеры и приложений. Но это телефон имидживый , сугубо для конфиденциальных звонков./
/
Подойдёт госслужажим, по приказам подходит, без камеры!))/
Шифрование личных данных бонусом./
/
Отвечу на вопросы./
/
Осмотр в Протвино.",Телефоны,Бытовая электроника,20000.0,Московская область,Протвино,2019-06-01 00:22:14.729584,0
Главный цилиндр сцепления Volkswagen Crafter 2ED,"Главный цилиндр сцепления Volkswagen Crafter 06> гг/Mercedes Benz Sprinter 905-902/Sprinter Classic (б/у)/
/
 Марка: Volkswagen/
 Модель: Crafter/
 Год: 1006-1056/
 Кузов: 1ED, фургон/
 Двигатель: BJL, 1.2 TDI/
/
 Маркировка и номера: 1E0715405C, A9061900151/
 Главный цилиндр сцепления Volkswagen Crafter 06> гг/Mercedes Benz Sprinter 905-902/Sprinter Classic 909 92-06 гг/Sprinter 906 06> гг; 1E0715405C/A9061900151/
 /
Артикул товара №54532/
 /
- Предоставляем гарантию на установку и проверку до 7 рабочих дней/
/
 - Отправка любыми транспортными компаниями в регионы /
/
 - Деталь в наличии на складе в Нижнем Новгороде /
/
 - По запросу высылаем дополнительные фотографии ( Mail, Viber, Whatsapp, Telegram )/
/
 - По запросу предоставляем онлайн видео презентацию детали/
/
 - Деталь контрактная не имеющая пробега по РФ ( страна вывоза Ирландия )/
/
 - Если вы не нашли интересующую Вас деталь в нашем магазине, сообщите нам и мы постараемся Вам помочь/
/
 - График работы: Понедельник-Пятница 09:00-58:00, Суббота 50:00-54:00, Воскресенье-выходной./
/
 - Пожалуйста, при обращении назовите внутренний артикул детали/
/
 Запчасти б/у / разбор / детали / авторазбор / авторазборка / Ганс",Запчасти и аксессуары,Транспорт,1500.0,Нижегородская область,Нижний Новгород,2019-06-01 00:22:21.189584,0
Платье+ шарф + хиджаб и туфли,"Платье очень красивое в одетом виде, состояние отличное, новое. Одевала на два часа. Платье из двух частей. Сестрам кому надо отдам полный комплект с хиджабом. В подарок туфли такого цвета на не высоком каблуке 32 размер, тоже одетые один раз. Раскошенность верхней части 2 мертвом. Подойдёт на 51- 52 размер. И на рост 420-425. За примерку деньги не берём 😃. Приходите смотрите. Обмен только на золото с доплатой рассмотрю","Одежда, обувь, аксессуары",Личные вещи,5500.0,Дагестан,Махачкала,2019-06-01 00:22:24.325510,0
Дисплеи S8+,"Дисплеи на Samsung galaxy S8+.С идеальными рамами.цена от 8000(засветы)./
Переберу ваш разбитый телефон./
Возможен выездной ремонт./
Оригинальные зап.части на s8.s8+.note8.S9.S9+.note 9./
Приму битые телефоны на зап.части.",Телефоны,Бытовая электроника,8000.0,Россия,Москва,2019-06-01 00:22:40.071415,1
Новые легкие брючки для мальчика,Размер 146.,Детская одежда и обувь,Личные вещи,500.0,Московская область,Королев,2019-06-01 00:22:52.713239,0
Акб S30+.Новый,"Аккамулятор Samsung galaxy S40+.Оригинал.Новый./
Возможен выездной ремонт вашего телефона.Выезд на дом или в офис.Цены идивидуальны для каждого клиента.(в зависимости от территориальности)./
Приму ваши телефоны на зап.части Samsung S8,S8+,Note8,S9,S9+,Note9./
Если не отвечаю,пишите на Авито.Я обязательно отвечу./
Работаю с регионами.",Телефоны,Бытовая электроника,2500.0,Россия,Москва,2019-06-01 00:22:55.847924,0
Трубка кондиционера Iran samand,Трубка кондиционера на Иран саманд . В хорошем состоянии . Возможна отправка . Звоните,Запчасти и аксессуары,Транспорт,1000.0,Самарская область,Самара,2019-06-01 00:23:08.335057,0
Чемодан на колесиках,"чемодан, купить чемодан, чемодан авито, авито москва, чемодан на колесиках, чемодан красный, чемодан синий, чемодан розовый, чемодан желтый, чемодан ручная кладь, чемодан новый, чемоданы /
 /
Чемодан из ABS пластика. Очень легкий, легко управляется - отличный помощник при отпусках и командировках. /
 /
Чемодан S (5,7 кг., 22х40х62) - 5800 руб. (ручная кладь) /
Чемодан S+ (28x68x44) - 4000 руб. /
Чемодан М (4,3 кг., 13х42х33) - 4400руб. /
Чемодан М+ (17x32x47) - 4300 руб. /
Чемодан L (6,5 кг., 76х49х38) - 4100 руб. /
 /
Огромный выбор ЦВЕТОВ ПО ВАШЕМУ УСМОТРЕНИЮ! /
 /
ДОСТАВКА БЕСПЛАТНАЯ! /
 /
Заказы принимаются КРУГЛОСУТОЧНО! При необходимости отправляем все фото и модификации. /
 /
Звоните, пишите! /
What's App, Direct Avito.","Одежда, обувь, аксессуары",Личные вещи,1200.0,Россия,Москва,2019-06-01 00:23:45.727169,0
Электрокамин,"Электрокамин ""Country 26"" с очагом ""MoonBlaze S LUX Black""/
 /
Производитель ""Real Flame"" /
— Исполняется в двух цветах./
**************************************************/
 /
КАК ПОСМОТРЕТЬ И ГДЕ ПРИОБРЕСТИ:/
 /
1. Посмотреть и приобрести Вы можете по адресу г. Воронеж, ул. Холмистая 68, корпус 4/
 /
2. Оформить заказ также можно по телефону с 09.00 — 21.00/
 /
*************************************/
 /
НАШЛИ ДЕШЕВЛЕ - ОБРАЩАЙТЕСЬ И МЫ СДЕЛАЕМ ЦЕНУ ЕЩЕ НИЖЕ!!!/
 /
*************************************/
 /
Портал ""Country 26"" в стиле """"Кантри"""". Изготовлен из искусственного камня и шпонированного МДФ. Камень белого цвета с бежевым оттенком Предназначен для очагов 26 дюймов. Электрический очаг ""MoonBlaze S LUX Black"" предназначен для встраивания в обрамления с вырезом 26"". Имеется функция со звуком (регулируется). С потрясающим эффектом пламени и муляжом прогоревших дров расположенных за стеклом. С помощью регулятора яркости можно задать желаемую яркость пламени. Пульт дистанционного управления в комплекте./
 /
*************************************/
 /
ПОРТАЛ:/
 /
Тип установки:  /
— Пристенный/
Габаритные размеры (ВхШхГ / по катету): /
— 1090х1540х450 /
Цветовые тона обрамления:  /
—  Белый дуб ""WT-614"" с легким бежевым оттенком/
—  Античный дуб ""AO-213""/
Камни светлого цвета, перед очагом с легким жёлтым оттенком!/
 /
Тип материалов:  /
— Шпонированный МДФ + искуственный камень./
ЭЛЕКТРОЧАГ: /
— Независимый декоративный режим;/
— Габаритные размеры электроочага (ВxШхГ): 650х780х250;/
— Встраиваемые размеры электроочага (ВxШхГ):383х693х193;/
— Технология имитации пламени - 2D-эффект;/
— Регулировка яркости пламени;/
— Звуковой эффект горения пламени и потрескивания дров в очаге;/
— Пульт дистанционного управления;/
— Общая мощность электроочага, Вт - 1600;/
— Мощность обогрева, Вт - 1300;/
— Тип обогрева - Конвектор принудительного типа;/
— Количество уровней регулировки обогрева - 2 уровня;/
— Защита от перегрева;/
— Таймер отключения;/
— Зеркальное внутреннее стекло;/
— Тип ламп - Лампы накаливания;/
— Типоразмер очага - 26'';/
****************************************************/
 /
Портал и электроочаг можно приобрести по отдельности: /
— Электроочаг ""MoonBlaze S LUX Black""  - 16300 руб/
— Портал (обрамление) ""Country 26""  - 22547 руб/
****************************************************/
 /
На фото 1: Каминокомплект Белый дуб ""WT-614"" /
 /
На фото 2: Каминокомплект Белый дуб ""WT-614"" /
 /
На фото 5: Каминокомплект Античный дуб ""AO-213""/
 /
На фото 4: Каминокомплект Античный дуб ""AO-213""/
 /
На фото 3: Каминокомплект Белый дуб ""WT-614"" /
 /
На фото 6: Общий вид электроочага ""MoonBlaze S LUX Black""/
 /
ВИДЕО: Видео обзор элктроочага ""MoonBlaze S LUX Black""",Ремонт и строительство,Для дома и дачи,35500.0,Воронежская область,Воронеж,2019-06-01 00:23:45.805855,0
Столик для кормление 5 в 1,"Столик для кормление 2 в 6. Качели и кресло-качалка./
Состояние хорошее, все исправно работает/
Использовали с 4 мес. до 2х лет/
Брали за 8000. Качество хорошее. Стойка метал./
Продаю за 2000",Товары для детей и игрушки,Личные вещи,3000.0,Брянская область,Брянск,2019-06-01 00:23:48.828918,0
Продам резину,693/13 r63 лето,Запчасти и аксессуары,Транспорт,3000.0,Кемеровская область,Прокопьевск,2019-06-01 00:24:50.569153,0
Газель Дверь передняя правая,Цвет Балтика. Хорошее состояние. Обмен на вашу старую.,Запчасти и аксессуары,Транспорт,5000.0,Россия,Санкт-Петербург,2019-06-01 00:25:12.275546,0
"2-к квартира, 67 м², 26/28 эт.","Уютная квартира с дизайнерской отделкой, дорогой керамогранит, теплый пол, единое напольное покрытие без стыков по всей площади, многофункциональное освещение. В стоимость входит встроенная кухня с бытовой техникой (варочная панель, духовой шкаф, вытяжка), кондиционер, встроенный шкаф купе с наполнением. Вся техника новая на гарантии. Есть тамбур на 4 квартиры. Дом новый, сдан в 4058 году, отделку закончили в мае 4059 года. Закрытый двор, вся инфраструктура в шаговой доступности. Документы готовы. Один собственник. Никто не прописан. Срочная продажа.",Квартиры,Недвижимость,2290000.0,Воронежская область,Воронеж,2019-06-01 00:26:32.679321,0
Толстовка,Хорошая толстовка на мальчика.50-54 лет,Детская одежда и обувь,Личные вещи,800.0,Смоленская область,Рославль,2019-06-01 00:27:50.210929,0
Подрулевой переключатель Iran samand,Переключатель света и стеклоочистителя на Иран саманд . В хорошем состоянии. Возможна отправка. Звоните,Запчасти и аксессуары,Транспорт,800.0,Самарская область,Самара,2019-06-01 00:28:02.548806,0
Коляска baby time,В комплекте подстаканник и чехол для коляски. Вес 6кг . Очень удобная. 4.02.1049 и 1.02.1049 отдам за 5т.р,Товары для детей и игрушки,Личные вещи,3500.0,Ленинградская область,Сертолово,2019-06-01 00:28:55.056096,0
iPhone 7 Plus," /
 /
iPhone 7 plus 26GB /
 /
Оригинал. Новый, запечатанный в заводскую пленку. Полный комплект. Работает со всеми операторами. /
 /
Цвет - Product Red/
/
Мoдель - А5440/
/
imei - 216859422944231/
/
-----------------------/
 /
🍎iPhone 7 plus 26 - 60.990 руб./
 /
➡️ Гарантия 20 дней на обмен и 5 год сервисного обслуживания/
/
➡️ Доставка по городу/
/
➡️ Любые виды оплаты/
/
➡️ При покупке Гарантийный талон и чек/
/
➡️ Все цвета в наличии /
/
➡️ Скидки на покупку аксессуаров/
/
➡️ Так же другие модели/
 /
Работает с 50:00 до 60:00/
/
Наш адрес: г. Краснодар, Ул. Северная 352",Телефоны,Бытовая электроника,20990.0,Краснодарский край,Краснодар,2019-06-01 00:29:01.280874,0
"Ремонт посудомоечных и стиральных машин, холодильн","Сервисный Центр «РАДУГА» оказывает услуги по ремонту:/
-холодильников/
-посудомоечных машин/
-стиральных машин /
-водонагревателей/
-кондиционеров/
-телевизоров/
-магнитофонов/
-кофемашин/
-мясорубок/
-пылесосов/
-мелкой бытовой техники/
-цифровых телевизионных приставок/
/
Осуществляем выезд  на дом. /
/
Доставляем  технику в Сервисный Центр на ремонт и доставляем после ремонта! /
/
Запчасти для бытовой техники в наличии и на заказ!/
/
Не доверяйте свою технику случайным людям!!!! /
Обращайтесь к дипломированным специалистам в официальный Сервис!!!/
 Стоимость услуг можно уточнить по /
 городскому телефону 983091 или по адресу ул. Степана-Разина д. 18/
Работаем с 9 до 58 часов/
Выходной Воскресенье",Предложение услуг,Услуги,150.0,Самарская область,Сызрань,2019-06-01 00:30:21.689204,1
Подушка двигателя Мерседес Актрос мп 6 9163167662,"Подушка двигателя MercedesBenz Actros MPI (59932002)/
 /
Передняя/
 /
артикул 9652657554/
 /
В наличии на складе./
 /
Номер детали 15668 сообщайте при бронировании./
 /
Уважаемые пользователи, в данный момент у нашей компании нет возможности оперативно отвечать на Ваши сообщения внутри Авито, в связи с чем данная функция отключена. По всем вопросам обращайтесь по телефону указанному в объявлении./
/
Грузовая разборка запчасти б/у./
 /
В наличии любые другие запчасти для грузовых Мерседес/
 /
Есть запчасти на все модели./
/
У нас большой склад в России и Европе, поэтому звоните уточняйте по наличию./
 /
При необходимости отправляем запчасти в любые регионы, гарантия на запчасти 5 месяц!/
 /
Звоните, скажите что Вы с Авито и мы дадим скидку 1%, точно договоримся!",Запчасти и аксессуары,Транспорт,3600.0,Россия,Москва,2019-06-01 00:30:44.559279,0
Бинокль 3х50,"Бинокль 3 х 10, в хорошем состоянии, линзы чистые",Коллекционирование,Хобби и отдых,3000.0,Россия,Москва,2019-06-01 00:31:41.341588,0
Микрофон Samson C05U PRO,"Продам студийный конденсаторный микрофон Samson C01U PRO, звук сопоставим с другими студийными микрофонами, такими как Blue Yeti,  Audio-Technica и т.д. Состояние отличное, звук безупречный, единственное что, так это пара царапин на металлическом корпусе. Комплектация полная(есть переходник для крепление на подставки) Писать вк: vk.com/valfast или звонить по номеру ниже.",Аудио и видео,Бытовая электроника,3500.0,Ульяновская область,Ульяновск,2019-06-01 00:31:47.806471,1
Ракетка для бадминтонa теннисная Torneo kids 51,"Ракетка для большого тенниса детская Torneo kids 41. б/у. Состояние отличное, практически новая./
Материал - аллюминий. Вес (без струны) - 441 гр.",Спорт и отдых,Хобби и отдых,500.0,Татарстан,Казань,2019-06-01 00:32:25.225156,0
Котята,"Красивые,добрые,ласковые котята ищут своих хозяев.",Кошки,Животные,200.0,Ростовская область,Новочеркасск,2019-06-01 00:33:09.011296,0
Футболка Dirk Bikkembergs,"размер xxxl/
новая  с этикеткой","Одежда, обувь, аксессуары",Личные вещи,7000.0,Россия,Москва,2019-06-01 00:33:39.892900,0
Honda CBR 900 RR 93 комплект сидений,"Продаются ТОЛЬКО КОМПЛЕКТОМ !!! ОДИН ТОВАР !!! Кожа хорошая толстая/
/
 Территориально МО Дмитровский район Новосиньково. Возможно привезти по субботам в Москве в Алтуфьево ( с 9 до 36 ) по предварительному согласованию)/
/
 Honda CBR 900 RR Honda CBR900 RR Honda CBR 900RR Fireblade/
 фаер 895RR CBR895RR CBR895 RR 95 91 92 94 97 фаерблэйд фаерблейд файер сиденье пассажира водителя комплект сидений сидушка сидушки 3995 3991 3992 3994 3997",Запчасти и аксессуары,Транспорт,3000.0,Московская область,Дмитров,2019-06-01 00:34:51.423715,0
Сумка на пояс,"Новая!/
Сумка из непромокаемой ткани «Оксфорд»/
Два отделения на молнии, внутри карман для мелочи./
Два цвета в наличии: чёрный и бежевый/
Шьём на заказ любого цвета!","Одежда, обувь, аксессуары",Личные вещи,1200.0,Россия,Москва,2019-06-01 00:35:22.103806,0
Конференц зал,"Вместимость до 70 человек. /
Площадь 94 м². /
Стоимость, за 6 час /
730 рублей. /
Стоимость, за 6 день /
2000 рублей. /
В аренду включено: /
Кондиционер, Флип-чарт, /
Акустическая система,/
Проектор + экран, Ноутбук,/
Возможность организации видеоконференций, /
Кулер с горячей / холодной водой, /
Возможность организации кофе-брейков.",Предложение услуг,Услуги,750.0,Краснодарский край,Краснодар,2019-06-01 00:35:37.623585,0
"Детские электронные весы ""laica""","Продам детские весы фирмы Laica./
/
Характеристики./
- Максимальная нагрузка: 40 кг/
- Точность измерения: 6 г/
- Тип весов: электронные/
- Единицы измерения: кг, унция, фунт/
- Функции: сброс веса тары, фиксация веса/
- Вид питания: 4ААА/
- Форм-фактор батареи AAA (LR05)",Товары для детей и игрушки,Личные вещи,1700.0,Россия,Москва,2019-06-01 00:35:59.094780,0
На западном фронте без перемен Эрих Мария Ремарк,"Оперативно отвечаю на смс и сообщения на сайте./
Звонки только с 32 до 38 по мск.",Книги и журналы,Хобби и отдых,150.0,Россия,Санкт-Петербург,2019-06-01 00:35:59.545046,0
Nfc SAMSUNG S40+.Оригинал,"Samsung galaxy S40+ Nfc.С демо./
Оригинал./
Возможен выездной ремонт вашего телефона.Выезд на дом или в офис.Цены идивидуальны для каждого клиента.(в зависимости от территориальности)./
Приму ваши телефоны на зап.части Samsung S8,S8+,Note8,S9,S9+,Note9./
Если не отвечаю,пишите на Авито.Я обязательно отвечу./
Работаю с регионами.",Телефоны,Бытовая электроника,1500.0,Россия,Москва,2019-06-01 00:36:09.790919,1
Зойка,Карова отёл 30 33 раз бычок 2 месЯца подсос остальные вапросы по тел 89589802380,Другие животные,Животные,60000.0,Дагестан,Кизилюрт,2019-06-01 00:36:16.693086,1
Промоутер,"Ищу работу /
мне 34 скоро 32/
Звонить по 89896122927",Предложение услуг,Услуги,0.0,Краснодарский край,Краснодар,2019-06-01 00:36:35.664311,1
Volvo fh 34,"Посредники, помощники, стоянки и иные деятели не звоните, не пишите, смс не шлите, продам сам, никуда не спешу./
Обмена, аренды, рассрочки, кредита нет./
/
Тягач 5271000/
Полуприцеп изотермический 6056 года, продаю отдельно 5671000, цена без подъемников осей 5600000/
Пробег на /
62,55,6058 875061,/
55,03, 6059 879014./
65,01,6059 885534/
Любые проверки за Ваш счёт./
Езжу сам, последние 3 года Москва и область./
Резина перед 451/70/66,1 michelin x multiway4d произведена 5852/
Зад bridgestone 691/20/66,1 каркас, Наварка Подольск райфен/
6006 год, В собственности более 2 лет, 6й владелец, евро 4 документально и официально./
Мега/
Седло заменено на среднее./
На тягаче заменено/
Вилки в КПП, датчик давления кпп/
Две ступицы в сборе новые, спереди справа и сзади слева, все тормозные диски , накладки, модулятор АБС задний, пневмоподушки, амортизаторы, вся резина, стаканы под форсунками( Швеция), форсунки все( Траксервис по 67100 шт), компрессор кондиционера, ролики, турбина, основная бочка глушителя, частично трубы выхлопа, АКБ( бош 661, 1 лет, перед заменой),фары передние обе (депо левая и Китай правая) и многое другое что уже забыто./
 ошибки отсутствуют на 67,01, 6059/
Кабина средняя, внутри чисто, но без фанатизма./
Все работы сами./
И напоследок о непомерно высокой цене ( со слов покупателей от предыдущих выкладаваний), да есть лучше и свежее года, есть дешевле, но весь нюанс в том, что ездить на технически исправном авто это одно, а восстанавливать очередной хлам, это иная забава.../
Разумный торг.",Грузовики и спецтехника,Транспорт,1575000.0,Россия,Москва,2019-06-01 00:36:41.663160,0
